Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Function,"c.prototype.setScrollbar",,1,,0
Function,"c.prototype.setState",,5,,0
Unnamed Function,"c.prototype.setState.(unnamed_function_8)",,2,,0
Function,"c.prototype.show",,4,,2
Function,"c.prototype.show",,12,,2
Function,"c.prototype.show",,4,,0
Function,"c.prototype.show",,7,,4
Unnamed Function,"c.prototype.show.(unnamed_function_28)",,3,,0
Unnamed Function,"c.prototype.show.(unnamed_function_28).(unnamed_function_29)",,1,,0
Unnamed Function,"c.prototype.show.(unnamed_function_53)",,1,,0
Function,"c.prototype.show.g",,1,,0
Function,"c.prototype.show.q",,1,,0
Function,"c.prototype.slide",,11,,2
Unnamed Function,"c.prototype.slide.(unnamed_function_13)",,2,,0
Unnamed Function,"c.prototype.slide.(unnamed_function_13).(unnamed_function_14)",,1,,0
Function,"c.prototype.tip",,1,,0
Function,"c.prototype.tip",,1,,0
Function,"c.prototype.to",,6,,0
Unnamed Function,"c.prototype.to.(unnamed_function_12)",,1,,0
Function,"c.prototype.toggle",,3,,1
Function,"c.prototype.toggle",,2,,0
Function,"c.prototype.toggle",,2,,0
Function,"c.prototype.toggle",,2,,0
Function,"c.prototype.toggleEnabled",,1,,0
Function,"c.prototype.validate",,1,,0
Function,"d.prototype.close",,4,,0
Function,"d.prototype.close.c",,1,,0
File,"dispatcher-servlet.xml",0,0,0,0
Function,"g.prototype.keydown",,5,,3
Function,"g.prototype.toggle",,4,,3
File,"org.eclipse.wst.common.project.facet.core.xml",0,0,0,0
Package,"proj",0,0,0,0
Package,"proj.unipe",0,0,0,0
